product_id,quantity,message,status
SDL304016400,0,Duplicate update requests,Failed
SDL124376363,0,Duplicate update requests,Failed
SDL894049647,0,Duplicate update requests,Failed
SDL347364301,0,Duplicate update requests,Failed
SDL136874870,0,Duplicate update requests,Failed
SDL921264992,0,Duplicate update requests,Failed
SDL558836007,0,Duplicate update requests,Failed
SDL630788903,0,Duplicate update requests,Failed
SDL390231359,28,Duplicate update requests,Failed
SDL142672453,38,Duplicate update requests,Failed
SDL231976321,0,Duplicate update requests,Failed
SDL901015988,50,Duplicate update requests,Failed
SDL163121441,44,Duplicate update requests,Failed
SDL298199487,16,Duplicate update requests,Failed
SDL357930438,0,Duplicate update requests,Failed
SDL435166422,28,Duplicate update requests,Failed
SDL736133832,9,Duplicate update requests,Failed
SDL465526500,18,Duplicate update requests,Failed
SDL127931647,0,Duplicate update requests,Failed
SDL929714879,0,Duplicate update requests,Failed
SDL355659181,5,Duplicate update requests,Failed
SDL259299901,29,Duplicate update requests,Failed
SDL629324232,0,Duplicate update requests,Failed
SDL402862217,0,Duplicate update requests,Failed
SDL512793255,0,Duplicate update requests,Failed
SDL967299017,0,Duplicate update requests,Failed
SDL142771210,27,Duplicate update requests,Failed
SDL616290555,0,Duplicate update requests,Failed
SDL883949672,50,Duplicate update requests,Failed
SDL550520924,0,Duplicate update requests,Failed
SDL846403192,29,Duplicate update requests,Failed
SDL807000118,0,Duplicate update requests,Failed
SDL242902088,20,Duplicate update requests,Failed
SDL499199784,0,Duplicate update requests,Failed
SDL641008663,0,Duplicate update requests,Failed
SDL313981767,0,Duplicate update requests,Failed
SDL233965615,0,Duplicate update requests,Failed
SDL784817851,50,Duplicate update requests,Failed
SDL880537126,0,Duplicate update requests,Failed
SDL529321945,0,Duplicate update requests,Failed
SDL629337028,0,Duplicate update requests,Failed
SDL153674474,37,Duplicate update requests,Failed
SDL026031219,1,Duplicate update requests,Failed
SDL149070504,0,Duplicate update requests,Failed
SDL411697199,0,Duplicate update requests,Failed
SDL637076972,0,Duplicate update requests,Failed
SDL784817851,50,Duplicate update requests,Failed
SDL495550528,50,Duplicate update requests,Failed
SDL133427294,18,Duplicate update requests,Failed
SDL645016498,11,Duplicate update requests,Failed
SDL435166422,28,Duplicate update requests,Failed
SDL364839519,3,Duplicate update requests,Failed
SDL132319715,0,Duplicate update requests,Failed
SDL360979064,0,Duplicate update requests,Failed
SDL375730302,0,Duplicate update requests,Failed
SDL982266851,0,Duplicate update requests,Failed
SDL603555866,0,Duplicate update requests,Failed
SDL017487994,0,Duplicate update requests,Failed
SDL935279724,0,Duplicate update requests,Failed
SDL041030040,15,Duplicate update requests,Failed
SDL626668431,0,Duplicate update requests,Failed
SDL334787138,22,Duplicate update requests,Failed
SDL298199487,0,Duplicate update requests,Failed
SDL114374777,0,Duplicate update requests,Failed
SDL476985143,0,Duplicate update requests,Failed
SDL777651913,37,Duplicate update requests,Failed
SDL502980513,5,Duplicate update requests,Failed
SDL234416320,0,Duplicate update requests,Failed
SDL857788715,0,Duplicate update requests,Failed
SDL461479028,0,Duplicate update requests,Failed
SDL315892143,0,Duplicate update requests,Failed
SDL671912119,25,Duplicate update requests,Failed
SDL666568795,1,Duplicate update requests,Failed
SDL641185554,0,Duplicate update requests,Failed
SDL629324232,1,Duplicate update requests,Failed
SDL103403955,1,Duplicate update requests,Failed
SDL330059111,0,Duplicate update requests,Failed
SDL495490376,0,Duplicate update requests,Failed
SDL991100716,0,Duplicate update requests,Failed
SDL391807209,50,Duplicate update requests,Failed
SDL186323283,0,Duplicate update requests,Failed
SDL177869669,42,Duplicate update requests,Failed
SDL236839378,0,Duplicate update requests,Failed
SDL846403192,0,Duplicate update requests,Failed
SDL302242901,0,Duplicate update requests,Failed
SDL749825986,0,Duplicate update requests,Failed
SDL991688448,50,Duplicate update requests,Failed
SDL059126517,0,Duplicate update requests,Failed
SDL420374177,0,Duplicate update requests,Failed
SDL550520924,3,Duplicate update requests,Failed
SDL050405330,50,Duplicate update requests,Failed
SDL682467669,0,Duplicate update requests,Failed
SDL920235104,30,Duplicate update requests,Failed
SDL476985143,0,Duplicate update requests,Failed
SDL938977921,10,Duplicate update requests,Failed
SDL786973585,0,Duplicate update requests,Failed
SDL643184959,0,Duplicate update requests,Failed
SDL988670580,50,Duplicate update requests,Failed
SDL529321945,50,Duplicate update requests,Failed
SDL272948196,0,Duplicate update requests,Failed
SDL666002116,0,Duplicate update requests,Failed
SDL427796824,0,Duplicate update requests,Failed
SDL848749805,0,Duplicate update requests,Failed
